time,neg60pA,neg30pA,0pA,30pA,60pA,90pA,120pA,150pA,180pA,210pA,240pA
0.4583,-0.064409,-0.065002,-0.065043,-0.064972,-0.064976,-0.065027,-0.065197,-0.065224,-0.06488,-0.065115,-0.064812
0.45835,-0.064425,-0.064984,-0.065034,-0.064969,-0.064958,-0.065024,-0.065188,-0.065239,-0.064868,-0.065094,-0.064816
0.4584,-0.064428,-0.064956,-0.065024,-0.064978,-0.064958,-0.065042,-0.065185,-0.065248,-0.06485,-0.065073,-0.064806
0.45845,-0.064419,-0.064935,-0.065021,-0.064981,-0.064955,-0.065054,-0.0652,-0.065233,-0.064831,-0.065057,-0.064809
0.4585,-0.064415,-0.064938,-0.065024,-0.065006,-0.064955,-0.065054,-0.065218,-0.065215,-0.064816,-0.065079,-0.064819
0.45855,-0.064406,-0.064932,-0.065034,-0.065015,-0.064958,-0.065054,-0.06523,-0.065199,-0.064801,-0.065079,-0.064834
0.4586,-0.064394,-0.064935,-0.065037,-0.065021,-0.064985,-0.065063,-0.065239,-0.065202,-0.06481,-0.065085,-0.06484
0.45865,-0.064406,-0.064929,-0.065027,-0.065021,-0.064991,-0.065066,-0.06523,-0.065205,-0.064816,-0.065079,-0.064834
0.4587,-0.064428,-0.064935,-0.065027,-0.06503,-0.064988,-0.065079,-0.065221,-0.065205,-0.064831,-0.065094,-0.064822
0.45875,-0.06444,-0.064935,-0.065037,-0.065036,-0.064979,-0.065072,-0.065206,-0.065199,-0.06485,-0.065127,-0.064797
0.4588,-0.064446,-0.064935,-0.065037,-0.065033,-0.064985,-0.06506,-0.065203,-0.065199,-0.064871,-0.06514,-0.064773
0.45885,-0.064452,-0.064938,-0.065037,-0.065006,-0.064958,-0.065048,-0.065197,-0.065205,-0.064868,-0.06514,-0.06477
0.4589,-0.06447,-0.064953,-0.06504,-0.064997,-0.064955,-0.065051,-0.065197,-0.06519,-0.064871,-0.065127,-0.064785
0.45895,-0.064489,-0.064953,-0.065037,-0.064984,-0.064958,-0.06506,-0.065203,-0.065153,-0.06485,-0.065121,-0.064803
0.459,-0.064492,-0.064944,-0.065034,-0.064981,-0.064985,-0.065063,-0.065209,-0.06515,-0.064831,-0.065121,-0.064825
0.45905,-0.064464,-0.064935,-0.065015,-0.064994,-0.064997,-0.065069,-0.065197,-0.065175,-0.064825,-0.065115,-0.064819
0.4591,-0.064431,-0.064932,-0.065015,-0.064994,-0.064997,-0.065072,-0.065194,-0.065221,-0.064819,-0.065127,-0.064822
0.45915,-0.064428,-0.064935,-0.065034,-0.064994,-0.065,-0.065069,-0.065178,-0.065242,-0.064816,-0.065134,-0.064812
0.4592,-0.064425,-0.06495,-0.065058,-0.064984,-0.065003,-0.065082,-0.065172,-0.065233,-0.064828,-0.065134,-0.064819
0.45925,-0.064434,-0.064962,-0.065073,-0.064963,-0.064997,-0.065088,-0.065151,-0.065221,-0.064853,-0.065124,-0.064828
0.4593,-0.064443,-0.064968,-0.065089,-0.064954,-0.065,-0.0651,-0.065133,-0.065221,-0.064892,-0.065127,-0.064855
0.45935,-0.064452,-0.064978,-0.065095,-0.064957,-0.064997,-0.065097,-0.065133,-0.065224,-0.064899,-0.065124,-0.064852
0.4594,-0.064446,-0.064971,-0.065079,-0.06499,-0.065003,-0.065079,-0.065136,-0.065233,-0.064895,-0.065118,-0.064843
0.45945,-0.064443,-0.064965,-0.065064,-0.065006,-0.065006,-0.065066,-0.06516,-0.06523,-0.064886,-0.0651,-0.064834
0.4595,-0.064428,-0.064965,-0.065052,-0.065024,-0.065019,-0.065045,-0.065166,-0.065233,-0.064886,-0.065091,-0.064828
0.45955,-0.064415,-0.064978,-0.065043,-0.065036,-0.065025,-0.065018,-0.065169,-0.065224,-0.064892,-0.065088,-0.064837
0.4596,-0.064412,-0.064978,-0.065043,-0.065033,-0.065025,-0.065005,-0.065175,-0.065221,-0.064914,-0.065094,-0.064843
0.45965,-0.064431,-0.064978,-0.065031,-0.065006,-0.065028,-0.065027,-0.065181,-0.065224,-0.06492,-0.065097,-0.064843
0.4597,-0.064437,-0.065002,-0.065031,-0.065024,-0.06501,-0.065048,-0.06516,-0.065227,-0.064923,-0.065103,-0.064834
0.45975,-0.064446,-0.065011,-0.065037,-0.06503,-0.065013,-0.06506,-0.065142,-0.065242,-0.064908,-0.065115,-0.064806
0.4598,-0.064446,-0.065017,-0.065034,-0.06503,-0.065028,-0.065057,-0.065148,-0.065239,-0.064902,-0.065121,-0.064782
0.45985,-0.064455,-0.065023,-0.065037,-0.065027,-0.065049,-0.065048,-0.065157,-0.065233,-0.064895,-0.065109,-0.064761
0.4599,-0.064473,-0.065033,-0.065037,-0.065018,-0.065055,-0.065039,-0.065166,-0.065224,-0.064892,-0.065088,-0.064745
0.45995,-0.064492,-0.065023,-0.065037,-0.065,-0.065052,-0.065021,-0.065175,-0.065218,-0.06488,-0.065103,-0.06473
0.46,-0.064486,-0.06502,-0.06504,-0.064969,-0.065037,-0.065018,-0.065188,-0.065208,-0.064862,-0.065124,-0.064739
0.46005,-0.064492,-0.065017,-0.065064,-0.064966,-0.065046,-0.065018,-0.065185,-0.065211,-0.064844,-0.065137,-0.064761
0.4601,-0.064495,-0.064993,-0.065064,-0.064957,-0.065043,-0.065014,-0.065194,-0.065205,-0.064859,-0.06514,-0.06477
0.46015,-0.064489,-0.064971,-0.065064,-0.064942,-0.065034,-0.065036,-0.065185,-0.065193,-0.06488,-0.065146,-0.06477
0.4602,-0.064483,-0.064962,-0.065061,-0.064911,-0.065025,-0.065039,-0.065181,-0.065208,-0.064889,-0.065146,-0.064782
0.46025,-0.064492,-0.064941,-0.065076,-0.064905,-0.065037,-0.065039,-0.065188,-0.065218,-0.064895,-0.065149,-0.064806
0.4603,-0.064501,-0.064935,-0.065101,-0.064911,-0.065052,-0.065048,-0.065185,-0.065236,-0.064895,-0.065143,-0.064816
0.46035,-0.064501,-0.064935,-0.065101,-0.064939,-0.065055,-0.065048,-0.065185,-0.065242,-0.064905,-0.065124,-0.064806
0.4604,-0.064513,-0.064944,-0.06511,-0.064954,-0.065052,-0.065051,-0.065163,-0.065276,-0.064905,-0.065112,-0.064782
0.46045,-0.064504,-0.064941,-0.065089,-0.064951,-0.065037,-0.065042,-0.065142,-0.065285,-0.064899,-0.065115,-0.06477
0.4605,-0.064492,-0.064947,-0.065082,-0.064954,-0.06504,-0.065024,-0.065136,-0.065272,-0.064892,-0.065127,-0.064776
0.46055,-0.064495,-0.064956,-0.065082,-0.064957,-0.065037,-0.065018,-0.06513,-0.065272,-0.064892,-0.065115,-0.064788
0.4606,-0.064504,-0.064953,-0.065082,-0.064951,-0.065034,-0.065011,-0.065136,-0.065269,-0.064889,-0.065127,-0.064785
0.46065,-0.064513,-0.06495,-0.065089,-0.064942,-0.065037,-0.065005,-0.065148,-0.065272,-0.064911,-0.065124,-0.064785
0.4607,-0.064516,-0.064941,-0.065095,-0.064942,-0.065052,-0.065005,-0.065148,-0.06526,-0.064941,-0.065124,-0.064776
0.46075,-0.064516,-0.064929,-0.065098,-0.064939,-0.065055,-0.065005,-0.065145,-0.065254,-0.064953,-0.06514,-0.064773
0.4608,-0.064522,-0.064929,-0.065101,-0.064942,-0.065064,-0.065011,-0.065148,-0.065248,-0.064935,-0.065146,-0.064767
0.46085,-0.064538,-0.064932,-0.065107,-0.064951,-0.065055,-0.065014,-0.065166,-0.065251,-0.064929,-0.065143,-0.064779
0.4609,-0.064538,-0.064932,-0.065131,-0.064951,-0.065037,-0.065018,-0.065163,-0.065248,-0.064917,-0.065134,-0.064794
0.46095,-0.064538,-0.064926,-0.065143,-0.064957,-0.065037,-0.065024,-0.065145,-0.065245,-0.064917,-0.065127,-0.064809
0.461,-0.064528,-0.06491,-0.065137,-0.064975,-0.065052,-0.065045,-0.065114,-0.06526,-0.064926,-0.065124,-0.064825
0.46105,-0.064507,-0.064901,-0.065125,-0.064987,-0.065068,-0.065051,-0.065099,-0.065269,-0.064941,-0.065143,-0.064825
0.4611,-0.064495,-0.064886,-0.065104,-0.065003,-0.065064,-0.065054,-0.065111,-0.065248,-0.064932,-0.065155,-0.064849
0.46115,-0.064486,-0.064871,-0.065095,-0.065006,-0.065058,-0.065042,-0.065114,-0.065251,-0.06492,-0.06514,-0.06487
0.4612,-0.064473,-0.064874,-0.065089,-0.064994,-0.065064,-0.06503,-0.065105,-0.065266,-0.06492,-0.065127,-0.064867
0.46125,-0.064483,-0.064874,-0.065073,-0.064981,-0.065074,-0.065042,-0.065099,-0.065269,-0.064917,-0.065127,-0.064874
0.4613,-0.064513,-0.064886,-0.065064,-0.064981,-0.065074,-0.065039,-0.065087,-0.065263,-0.064938,-0.065158,-0.064867
0.46135,-0.064541,-0.064907,-0.065076,-0.064984,-0.065061,-0.065051,-0.06509,-0.065266,-0.064941,-0.065182,-0.064858
0.4614,-0.064553,-0.06491,-0.065085,-0.064984,-0.065055,-0.065048,-0.065075,-0.065251,-0.064932,-0.065213,-0.064852
0.46145,-0.064568,-0.06492,-0.065107,-0.064978,-0.065061,-0.065051,-0.065069,-0.065251,-0.064905,-0.065225,-0.064858
0.4615,-0.064547,-0.064914,-0.06511,-0.064987,-0.065077,-0.065054,-0.065066,-0.065251,-0.06488,-0.065225,-0.064849
0.46155,-0.064562,-0.064901,-0.065125,-0.064994,-0.065092,-0.065057,-0.065072,-0.065254,-0.064856,-0.065228,-0.064834
0.4616,-0.064565,-0.064892,-0.065128,-0.065006,-0.065092,-0.065051,-0.065087,-0.065242,-0.064865,-0.065231,-0.064831
0.46165,-0.064571,-0.064892,-0.065137,-0.065006,-0.065092,-0.065021,-0.065096,-0.065227,-0.064892,-0.065237,-0.06484
0.4617,-0.06458,-0.064886,-0.065113,-0.065018,-0.065083,-0.065002,-0.065084,-0.065208,-0.064929,-0.065237,-0.064858
0.46175,-0.064583,-0.064886,-0.065101,-0.065021,-0.065077,-0.065002,-0.065087,-0.065175,-0.064947,-0.065228,-0.064867
0.4618,-0.064586,-0.064874,-0.065101,-0.065006,-0.06508,-0.064996,-0.065081,-0.065181,-0.064947,-0.065231,-0.064867
0.46185,-0.064592,-0.064856,-0.065089,-0.06499,-0.065089,-0.06499,-0.065099,-0.065199,-0.06495,-0.065225,-0.064849
0.4619,-0.064602,-0.064856,-0.065082,-0.064981,-0.06508,-0.064993,-0.065108,-0.065221,-0.064957,-0.065222,-0.064831
0.46195,-0.064583,-0.064856,-0.065079,-0.064997,-0.065092,-0.06499,-0.065124,-0.065248,-0.064975,-0.065213,-0.064843
0.462,-0.064565,-0.064871,-0.065079,-0.065009,-0.065104,-0.064999,-0.065145,-0.065254,-0.06496,-0.065225,-0.064858
0.46205,-0.064547,-0.064883,-0.065076,-0.065003,-0.06511,-0.065005,-0.065148,-0.065254,-0.06496,-0.06524,-0.064874
0.4621,-0.064541,-0.064892,-0.065079,-0.064984,-0.065104,-0.065018,-0.065151,-0.065254,-0.064953,-0.065253,-0.06488
0.46215,-0.064538,-0.064889,-0.065064,-0.064975,-0.065077,-0.065011,-0.065148,-0.065251,-0.064944,-0.065274,-0.064874
0.4622,-0.064541,-0.064886,-0.065058,-0.064994,-0.065058,-0.065005,-0.065124,-0.065239,-0.064935,-0.065283,-0.064874
0.46225,-0.064534,-0.064889,-0.065043,-0.06499,-0.065064,-0.065005,-0.065102,-0.065233,-0.064917,-0.065271,-0.064874
0.4623,-0.064541,-0.064886,-0.065034,-0.064981,-0.065052,-0.065018,-0.065096,-0.065239,-0.064911,-0.065259,-0.064877
0.46235,-0.064528,-0.064886,-0.065037,-0.064987,-0.065031,-0.065014,-0.065102,-0.06526,-0.064886,-0.065247,-0.064892
0.4624,-0.064519,-0.064886,-0.065037,-0.065009,-0.065022,-0.065014,-0.065105,-0.065279,-0.064859,-0.06525,-0.064904
0.46245,-0.064534,-0.064874,-0.065046,-0.065042,-0.065028,-0.065036,-0.06512,-0.065272,-0.064859,-0.065243,-0.064907
0.4625,-0.06455,-0.064886,-0.065049,-0.065051,-0.065034,-0.065054,-0.065133,-0.06526,-0.064868,-0.065234,-0.064907
0.46255,-0.064562,-0.064895,-0.065049,-0.065051,-0.065049,-0.065042,-0.065127,-0.065248,-0.064895,-0.065225,-0.064895
0.4626,-0.064577,-0.064935,-0.065046,-0.065027,-0.065031,-0.065018,-0.065111,-0.065239,-0.064917,-0.065219,-0.064904
0.46265,-0.064577,-0.064941,-0.06504,-0.065039,-0.06504,-0.064999,-0.065099,-0.065224,-0.064917,-0.065225,-0.064898
0.4627,-0.064586,-0.064929,-0.06504,-0.065042,-0.065043,-0.064993,-0.065081,-0.065218,-0.064905,-0.065237,-0.06487
0.46275,-0.06458,-0.064914,-0.065043,-0.065048,-0.065061,-0.064993,-0.065069,-0.065202,-0.064892,-0.065247,-0.064867
0.4628,-0.064565,-0.064907,-0.06504,-0.065033,-0.065086,-0.065011,-0.065087,-0.065205,-0.064886,-0.065243,-0.06487
0.46285,-0.064565,-0.064929,-0.065027,-0.065018,-0.065092,-0.065018,-0.065108,-0.065211,-0.064886,-0.065234,-0.064867
0.4629,-0.064574,-0.064947,-0.065021,-0.065006,-0.065092,-0.065027,-0.06512,-0.065221,-0.064899,-0.06525,-0.064861
0.46295,-0.064568,-0.064962,-0.065037,-0.065018,-0.065101,-0.065027,-0.065142,-0.065233,-0.064911,-0.065265,-0.064843
0.463,-0.064565,-0.064953,-0.065052,-0.065042,-0.065113,-0.065024,-0.065142,-0.065257,-0.064917,-0.065256,-0.06484
0.46305,-0.064592,-0.064944,-0.065055,-0.065067,-0.065116,-0.065021,-0.065133,-0.065263,-0.064902,-0.06525,-0.06484
0.4631,-0.064614,-0.064947,-0.065043,-0.06507,-0.065119,-0.065018,-0.065139,-0.065251,-0.064889,-0.065228,-0.064861
0.46315,-0.064611,-0.064938,-0.065034,-0.065055,-0.065122,-0.065014,-0.065148,-0.065239,-0.064889,-0.065225,-0.064867
0.4632,-0.064608,-0.064941,-0.065027,-0.065045,-0.065125,-0.065024,-0.065136,-0.065245,-0.064892,-0.065213,-0.06487
0.46325,-0.064592,-0.064926,-0.065037,-0.06503,-0.065129,-0.065039,-0.06513,-0.065269,-0.064886,-0.065204,-0.064861
0.4633,-0.064589,-0.064923,-0.065049,-0.065018,-0.065129,-0.065054,-0.06512,-0.065291,-0.064886,-0.065198,-0.064849
0.46335,-0.064602,-0.064914,-0.065061,-0.065012,-0.065122,-0.065069,-0.06513,-0.065291,-0.064892,-0.065189,-0.064846
